campaign_id,campaign_name,cost,total_leads,qualified_leads,cpql,qualification_rate,ctr,total_score,action,recommendation
12183,Kings Way,7171.129999999999,19.0,0.0,,0.0,0.01275125936201666,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
12191,Kings Way,1226.96,2.0,0.0,,0.0,0.009780722511437134,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
12477,Al Burouj,9225.41,21.0,2.0,4612.705,0.09523809523809523,0.03737777310482599,38,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
12669,Il Cazar - The Crest,3697.43,5.0,1.0,3697.43,0.2,0.012753319357092943,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
12835,Stei8ht,6047.139999999999,16.0,0.0,,0.0,0.014176198588464346,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
12974,Stei8ht,801.9200000000001,1.0,0.0,,0.0,0.007544483985765124,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
13123,Stei8ht,1178.22,1.0,0.0,,0.0,0.007671232876712329,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
13124,Stei8ht,2810.54,4.0,0.0,,0.0,0.009419861656644305,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
13847,Plage,829.64,1.0,0.0,,0.0,0.00933448573898012,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
13873,ZED West - Ora Development,3970.21,9.0,1.0,3970.21,0.1111111111111111,0.01009594730058714,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
13996,Nurai new cairo - mercon developments,425.71,1.0,0.0,,0.0,0.0,38,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
14012,⁠Financial Hub - SUD - New Capital,8998.61,7.0,2.0,4499.305,0.2857142857142857,0.010448179271708683,38,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
14195,⁠Pearl - SUD - New Mansoura,4575.65,2.0,1.0,4575.65,0.5,0.009627992357546923,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
14939,Novara Development - Reve du Nil,0.0,1.0,0.0,,0.0,0.0,38,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
15166,HPD-Voke Mall,260086.61,1.0,0.0,,0.0,0.0016766778281205553,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
15209,Rewaya Compound - SIAC Development,4148.61,13.0,1.0,4148.61,0.07692307692307693,0.060839913854989235,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
15221,Rafts of Ark - The Ark,167469.56,2.0,0.0,,0.0,0.0022261920762699145,39,REDUCE_BUDGET,Poor performance - reduce budget by 50% while testing improvements
